Date,Beta,Alpha
2021-11-24,1.2095221349737963,1.268249648062789
2021-11-26,1.2093528072175188,1.268210744140097
2021-11-29,1.2090490017259403,1.2681489565467459
2021-11-30,1.208690009120731,1.2680709756715687
2021-12-01,1.2084489359814878,1.2680128208443633
2021-12-02,1.2082387603357545,1.2679648207172176
2021-12-03,1.20816808702422,1.2679469635505678
2021-12-06,1.2081163766294876,1.2679344497113476
2021-12-07,1.2078494374470559,1.267881414802864
2021-12-08,1.2075403803654625,1.2678218712269493
2021-12-09,1.2073328970901083,1.2677781388041867
2021-12-10,1.2070365344647696,1.2677210171003455
2021-12-13,1.206840802637102,1.267679321445752
2021-12-14,1.2067769862630224,1.2676643217267443
2021-12-15,1.2065610923173362,1.2676204457926545
2021-12-16,1.2066072533039853,1.267631607313611
2021-12-17,1.2065966947485176,1.2676290037075446
2021-12-20,1.2066144997968864,1.2676336678338833
2021-12-21,1.206493597643656,1.2676061562282204
2021-12-22,1.20633558207573,1.2675724106231798
2021-12-23,1.206179233674032,1.2675398588509759
2021-12-27,1.205921542431654,1.2674924084820942
2021-12-28,1.205750207389897,1.2674589472461597
2021-12-29,1.2055951450799998,1.2674283531843642
2021-12-30,1.205480741997093,1.2674048014612773
2021-12-31,1.2054052017044532,1.2673886479658458
2022-01-03,1.2052931210251472,1.2673656970567
2022-01-04,1.2053300989611027,1.267373928659889
2022-01-05,1.20556251670708,1.2674361170097483
2022-01-06,1.205821318908697,1.2675064980137114
2022-01-07,1.2061469535489613,1.267599267081341
2022-01-10,1.2064305521874956,1.2676792780835364
2022-01-11,1.2066482532840181,1.2677366070261509
2022-01-12,1.206845506331406,1.2677876002605137
2022-01-13,1.2072257976405274,1.2679005135619392
2022-01-14,1.2075053205592616,1.2679799381173107
2022-01-18,1.2078938833219397,1.2681037048015948
2022-01-19,1.2083252228194818,1.2682485063521316
2022-01-20,1.2087737201517132,1.268405618231377
2022-01-21,1.2092619540033733,1.2685903484626744
2022-01-24,1.2096951674758982,1.26874799974027
2022-01-25,1.2102733666481782,1.2689771893201554
2022-01-26,1.210773211911433,1.2691698847240926
2022-01-27,1.211298553340888,1.2693763625310495
2022-01-28,1.211572630665956,1.269465792130073
2022-01-31,1.2116684951921175,1.2694927701696799
2022-02-01,1.2117784728993939,1.2695229701569193
2022-02-02,1.211915580056473,1.269559528032217
2022-02-03,1.2121835789626978,1.2696427278985938
2022-02-04,1.2124029362550146,1.2697079724372027
2022-02-07,1.2126356603740438,1.2697784188826062
2022-02-08,1.2127891349610844,1.2698218025638377
2022-02-09,1.2127973526566134,1.2698238398529784
2022-02-10,1.2129195449566528,1.2698583542320352
2022-02-11,1.2132078318992392,1.2699527493347365
2022-02-14,1.2134569101738595,1.2700336555626661
2022-02-15,1.213525957585096,1.2700530697944201
2022-02-16,1.2136232206369097,1.2700805595661535
2022-02-17,1.213894199773488,1.2701699968914595
2022-02-18,1.2142298435588956,1.2702860805079597
2022-02-22,1.2145610417691655,1.2704043807709875
2022-02-23,1.214990318122786,1.2705729331201177
2022-02-24,1.2151582867433366,1.2706288696828625
2022-02-25,1.2153624469441549,1.2706919145077606
2022-02-28,1.2155373020156213,1.2707454894992003
2022-03-01,1.2157774750375316,1.270825547643482
2022-03-02,1.21594592446258,1.270876024789503
2022-03-03,1.2162388815281666,1.2709701271201772
2022-03-04,1.21666384459885,1.2711185361938364
2022-03-07,1.2172140682718733,1.271341709744746
2022-03-08,1.2177299668536117,1.271552039060457
2022-03-09,1.2180153596849261,1.2716480121195182
2022-03-10,1.218439674576301,1.2718008203799063
2022-03-11,1.2189616286881275,1.272004033075359
2022-03-14,1.2196293080893919,1.272284202320872
2022-03-15,1.2201162365266327,1.2724595995399492
2022-03-16,1.2203889712439846,1.2725416856028196
2022-03-17,1.2206449434733897,1.2726141616955737
2022-03-18,1.220731250735724,1.2726356433465125
2022-03-21,1.2208416477913766,1.2726635611222106
2022-03-22,1.2208785101345472,1.2726720416081243
2022-03-23,1.2209719362338305,1.272695706849963
2022-03-24,1.2208968261546465,1.2726794719850816
2022-03-25,1.2209010525288435,1.2726804060064705
2022-03-28,1.2208274216590407,1.272665324469304
2022-03-29,1.2206181305078867,1.2726284744489753
2022-03-30,1.2205400876539774,1.2726128289040284
2022-03-31,1.2204828044254743,1.2726000635927075
2022-04-01,1.2204856211992678,1.2726007068154102
2022-04-04,1.2203427052648523,1.2725719356692053
2022-04-05,1.2203628268310842,1.2725767257286176
2022-04-06,1.2206025568956118,1.2726437349661113
2022-04-07,1.2208442637474526,1.2727099397789368
2022-04-08,1.2212183666368384,1.2728206403373117
2022-04-11,1.2216823119621238,1.2729747133266676
2022-04-12,1.2221237085380068,1.2731219401638043
2022-04-13,1.2224645226774857,1.2732252846595162
2022-04-14,1.2229547535390624,1.2733925917985736
2022-04-18,1.2234173242608057,1.2735480801084922
2022-04-19,1.2237895906125644,1.273660258245029
2022-04-20,1.224185635567124,1.2737815156690304
2022-04-21,1.2246470396214213,1.2739362756994739
2022-04-22,1.2251377291166201,1.274122059761877
2022-04-25,1.2254896904498098,1.2742442211422238
2022-04-26,1.225982739098456,1.2744458453600058
2022-04-27,1.226369843746601,1.2745947962678692
2022-04-28,1.226530019622377,1.2746451545171946
2022-04-29,1.2268060463240609,1.2747507420863848
2022-05-02,1.2269487447203489,1.274800715625844
2022-05-03,1.227121623648337,1.274860467726252
2022-05-04,1.2271769363393705,1.2748763414440492
2022-05-05,1.2274856142250459,1.2749911974962416
2022-05-06,1.2278536399437212,1.275133406208272
2022-05-09,1.2283875503124388,1.2753787056063537
2022-05-10,1.2287671713200787,1.2755403141925228
2022-05-11,1.2293618717684813,1.2758273589275833
2022-05-12,1.2300006438888744,1.2761389019433291
2022-05-13,1.2304385752879183,1.2763190304184857
2022-05-16,1.2309524426193899,1.2765384286454364
2022-05-17,1.2313303528388488,1.2766787878989336
2022-05-18,1.2318358222320327,1.2769069330004204
2022-05-19,1.232342678751461,1.2771385334533731
2022-05-20,1.2328194272017297,1.2773513555601124
2022-05-23,1.2332197874049842,1.2775120587535376
2022-05-24,1.233752527702624,1.277741864926208
2022-05-25,1.2341920065482268,1.2779172961164835
2022-05-26,1.2345160530671897,1.278030710332843
2022-05-27,1.2346686840396044,1.2780747977182818
2022-05-31,1.2348557052935074,1.2781311780356381
2022-06-01,1.235003455465709,1.2781764644167048
2022-06-02,1.2350061199980378,1.2781771572169347
2022-06-03,1.2351519003868172,1.2782212930055168
2022-06-06,1.2353136474966262,1.2782698650294515
2022-06-07,1.2354034584623566,1.2782947275785268
2022-06-08,1.235512558674469,1.2783268490578212
2022-06-09,1.2357217958556583,1.2783984700050628
2022-06-10,1.2360941998292463,1.2785516764937468
2022-06-13,1.2366200310963067,1.2788134239554814
2022-06-14,1.2370465625437277,1.2790172433491038
2022-06-15,1.2373491499138576,1.2791466828318145
2022-06-16,1.2378233696243979,1.2793877171849015
2022-06-17,1.2381700378879665,1.2795523856354891
2022-06-21,1.2384588076560834,1.279673414061862
2022-06-22,1.2387598623772467,1.2797998038257656
2022-06-23,1.2389508859057776,1.2798727917644188
2022-06-24,1.2390072481553864,1.2798904227137957
2022-06-27,1.2391114152012983,1.279924159436179
2022-06-28,1.2393771175573238,1.2800247365031927
2022-06-29,1.2396180380761763,1.2801145731571528
2022-06-30,1.2399326348590463,1.2802389833307606
2022-07-01,1.2402972309388662,1.2803793604705997
2022-07-05,1.240498237329035,1.2804502279393235
2022-07-06,1.2406461093927017,1.2805000314941848
2022-07-07,1.240671780455943,1.2805076043658496
2022-07-08,1.2406807807657247,1.2805102391196688
2022-07-11,1.2407692766747598,1.2805386005092254
2022-07-12,1.2409287201355836,1.2805933844513737
2022-07-13,1.2410612039808906,1.2806390956849314
2022-07-14,1.2410895038987781,1.2806484315959252
2022-07-15,1.2410824552361976,1.2806463533283203
2022-07-18,1.2411051327479363,1.2806533853513875
2022-07-19,1.2410290820431478,1.280633905783352
2022-07-20,1.2407922736648227,1.2805806694529915
2022-07-21,1.2404870748982706,1.28051899520878
2022-07-22,1.2402991393157394,1.2804755847557743
2022-07-25,1.240206015098437,1.2804529199968917
2022-07-26,1.2402278997423148,1.2804589952190153
2022-07-27,1.2399868209285587,1.2804098111389668
2022-07-28,1.2397048944888887,1.280358318280665
2022-07-29,1.239379241841018,1.280306511610439
2022-08-01,1.2390575327544915,1.2802531600312186
2022-08-02,1.2387504043441937,1.2801984947841265
2022-08-03,1.2382515309074014,1.2801313848915945
2022-08-04,1.2377240018912674,1.2800606350790011
2022-08-05,1.2372208319090205,1.279989527411551
2022-08-08,1.2368172752812756,1.2799261202049288
2022-08-09,1.2365416555054725,1.279876091875064
2022-08-10,1.2361085499205953,1.2798175910053653
2022-08-11,1.2357696393306348,1.2797670274111435
2022-08-12,1.2353496771819248,1.2797166099442252
2022-08-15,1.2349153807841837,1.279666415209959
2022-08-16,1.2345640047213817,1.279621965277713
2022-08-17,1.2342576960197766,1.279577485395345
2022-08-18,1.2339284489504543,1.2795310749182354
2022-08-19,1.2337208784627172,1.279494183402265
2022-08-22,1.2336507337327483,1.279478135941882
2022-08-23,1.2335899473201144,1.2794638991553309
2022-08-24,1.2335420159507826,1.2794527581485398
2022-08-25,1.233416199131061,1.279427320157358
2022-08-26,1.2334732185993371,1.2794433729080996
2022-08-29,1.2336205815302879,1.279488311076187
2022-08-30,1.2337704416561224,1.2795366380126263
2022-08-31,1.2339556306075563,1.2795994152463475
2022-09-01,1.2342637509548,1.2797082347902111
2022-09-02,1.2345934003623975,1.2798311883100295
2022-09-06,1.2349550482786766,1.279969803600706
2022-09-07,1.2352934896310228,1.2800874647241147
2022-09-08,1.2356105637342742,1.280193014153553
2022-09-09,1.2358212572538785,1.2802540644049905
2022-09-12,1.2359435741483427,1.2802858349232142
2022-09-13,1.2362569896530475,1.2803994066376023
2022-09-14,1.2365460332020886,1.2805006178564966
2022-09-15,1.2369671216401885,1.280665620043025
2022-09-16,1.2373865356052196,1.2808343642238913
2022-09-19,1.2377762427518995,1.2809829439189393
2022-09-20,1.2381130180610127,1.2811141124988612
2022-09-21,1.238449647146129,1.281254204678309
2022-09-22,1.23884225252348,1.2814262377161263
2022-09-23,1.239225832893216,1.2816034639914777
2022-09-26,1.239578720423797,1.2817688405931864
2022-09-27,1.2398582568276453,1.2818955198120203
2022-09-28,1.240175208365254,1.2820291467609346
2022-09-29,1.2405769639542774,1.282218560012425
2022-09-30,1.2410203077024362,1.2824420498079465
2022-10-03,1.2413601481654646,1.282588141431549
2022-10-04,1.241580501516591,1.2826658314146973
2022-10-05,1.2417350567677186,1.2827188549972195
2022-10-06,1.2418785994602453,1.282769903457148
2022-10-07,1.2422320951171644,1.2829259339137762
2022-10-10,1.2427032518628196,1.2831496165662193
2022-10-11,1.243271533179917,1.2834358593434612
2022-10-12,1.2438304145482402,1.2837168987302217
2022-10-13,1.2443032988910627,1.2839209427184644
2022-10-14,1.244862285142355,1.2841943906223012
2022-10-17,1.2452949825653565,1.2843728836402855
2022-10-18,1.2457035447320775,1.2845303867981657
2022-10-19,1.2460918971860364,1.2846824832564614
2022-10-20,1.2463822493900125,1.2847945618631058
2022-10-21,1.2465880367894409,1.2848620416859544
2022-10-24,1.24676530040504,1.2849156125270453
2022-10-25,1.2468324905165793,1.284932979718033
2022-10-26,1.2470634558311902,1.285002013191677
2022-10-27,1.2473556059542472,1.2850951662007097
2022-10-28,1.2473942529730084,1.2851044105181268
2022-10-31,1.247506520510212,1.2851339996003277
2022-11-01,1.247667878132278,1.2851790350972343
2022-11-02,1.2480130702869583,1.2853018742591529
2022-11-03,1.2485728714117543,1.2855341002771559
2022-11-04,1.2490999906095865,1.2857351685975782
2022-11-07,1.2495342013264215,1.2858854668512871
2022-11-08,1.2498982608535387,1.2860034630265957
2022-11-09,1.2503618184110878,1.2861792707103739
2022-11-10,1.250366172474393,1.2861801870331473
2022-11-11,1.2502160253630563,1.286153973149483
2022-11-14,1.250107705057881,1.2861327440767014
2022-11-15,1.249909353243551,1.2860986793635847
2022-11-16,1.2498585777546463,1.2860881319006594
2022-11-17,1.2497838505969492,1.286072360397293
2022-11-18,1.2497443329693825,1.2860640212651993
2022-11-21,1.2498135997609543,1.2860804009459292
2022-11-22,1.2497985262211775,1.2860773378603683
2022-11-23,1.2497122392731221,1.286061347869148
2022-11-25,1.2497055249712092,1.286060002567772
2022-11-28,1.249801771073501,1.2860835509302886
2022-11-29,1.2499877726165407,1.2861327037591694
2022-11-30,1.2498872166792443,1.2861154774309194
2022-12-01,1.2497430123984217,1.2860912282623473
2022-12-02,1.2496634244817222,1.286076706859514
2022-12-05,1.249644345179309,1.2860724546222382
2022-12-06,1.2497497285632129,1.2861007650205363
2022-12-07,1.249886564743832,1.2861388136824399
2022-12-08,1.2498884018281982,1.2861392594480885
2022-12-09,1.2498920693783255,1.2861401981028755
2022-12-12,1.2497681167245225,1.2861137892353944
2022-12-13,1.2495810617806216,1.2860778908613326
2022-12-14,1.2494348085714253,1.2860472739931927
2022-12-15,1.2495156620519907,1.2860707130308358
2022-12-16,1.2496313880392063,1.2861073945284451
2022-12-19,1.2498318223191942,1.286176861467307
2022-12-20,1.2500106203630135,1.2862374601203583
2022-12-21,1.2501398789765183,1.2862765776949359
2022-12-22,1.250424259195678,1.2863777463264583
2022-12-23,1.2507420214436746,1.2864895154411295
2022-12-27,1.2511231825972218,1.2866307415540768
2022-12-28,1.2515552340461955,1.2868047078473042
2022-12-29,1.2518286197983093,1.2868969768688931
2022-12-30,1.2520789482321804,1.286981137400129
2023-01-03,1.252389024058245,1.287091225392991
2023-01-04,1.2527107741561643,1.2872013748451587
2023-01-05,1.2531505138205623,1.2873714099350548
2023-01-06,1.2534653334704244,1.2874720088373428
