Date,GDX,GLD,IVV,KBE,QQQ,SPY,VDE,VGT,XLE,XLF
2020-08-31,21174600,10251200,5757700,3185200,36321000,66099200,530800,5144000,37583000,52259000
2020-09-01,24247400,10662100,3698900,2424300,36216200,54908700,922500,6870400,36521000,42036100
2020-09-02,21587400,11536900,3596600,2086900,50836800,69540000,843400,9088800,47700400,48432500
2020-09-03,23533900,12148100,7771400,5111900,110083300,148011100,910300,17240800,78884600,98405500
2020-09-04,31760000,11567900,5359400,4343400,123959000,139156300,926300,18643200,68682000,111105500
2020-09-08,23894000,13229200,5003500,3308100,99568600,114465300,1836200,16860000,98437600,84687600
2020-09-09,30373300,8424100,5378500,1452200,64837900,91462300,623500,9693600,49955200,52321200
2020-09-10,24778400,9143600,5060200,2374000,69667500,90569500,1049000,9372000,74006600,55515300
2020-09-11,19360900,7662300,3490200,1707800,71809000,84680200,897200,9997600,50794600,69285700
2020-09-14,24207100,9709500,2830700,1535100,38525200,65605700,559300,5763200,38888400,51021000
2020-09-15,21083600,7993700,2553900,1696700,41849900,52920900,719600,6196800,51220800,48459900
2020-09-16,21636100,12702400,2449700,2054600,42321000,82096000,1119800,5390400,71772200,62119900
2020-09-17,21293200,8836200,3097900,1163200,81570800,91523300,608300,7145600,44713400,47334200
2020-09-18,24531300,9959700,3204600,1579000,86251100,105877900,740400,8876000,52812800,61707200
2020-09-21,30733600,17436100,6177800,3467500,57168600,99450800,1150700,10963200,61439200,72307300
2020-09-22,21529200,7977900,2864800,2186200,41128900,63612100,568700,6552800,44697400,84561500
2020-09-23,53008900,18134000,4366100,1822400,48837300,93112200,829600,5964800,52969200,54282500
2020-09-24,35428400,11759200,4232100,1838900,70631700,76681300,1270200,5826400,70487600,56512300
2020-09-25,15107500,6779200,4178300,1309300,55242400,71069400,990400,5176800,55116800,46026600
2020-09-28,17378100,7109700,3411200,2576600,58438300,64584600,574000,5347200,52752000,62803500
2020-09-29,16825400,8718500,2536400,1418900,27050000,51304000,614600,4341600,47601800,53250800
2020-09-30,17573000,8371800,4750900,1477300,49380800,104081100,591800,5853600,49149000,66732200
2020-10-01,21847900,10402800,3381600,1101400,50020200,88698700,1239800,5610400,56730400,65766100
2020-10-02,16693900,7488500,4092600,1714300,75497400,89431100,853500,8308000,57410400,63368100
2020-10-05,19579800,6969600,3208500,2447200,28184600,45713100,902200,5771200,63144400,58911700
2020-10-06,26692000,8632800,3934700,7836800,49704200,90128900,866200,5020000,62223200,88404900
2020-10-07,22049800,6410900,3122000,5056200,27539700,56999600,581500,4263200,42086000,53815200
2020-10-08,18446600,6530800,4166900,3490200,25443300,45242500,757300,9509600,61126200,57646300
2020-10-09,29936400,15979800,3377000,1306100,30201100,59528600,1165700,3540000,51035800,52031600
2020-10-12,14011300,4843000,2301100,1337500,79370700,80388500,656100,5248000,33369200,45931400
